Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Matisse Thybulle,SG,25,POR,22,2.7,.438,.558,7.4
Obi Toppin,PF,24,NYK,67,2.8,.446,.548,7.4
Trendon Watford,PF,22,POR,62,2.9,.560,.599,7.4
Delon Wright,PG,30,WAS,50,2.8,.474,.545,7.4
Mo Bamba,C,24,ORL,40,2.7,.495,.596,7.3
R.J. Hampton,SG,21,DET,21,2.5,.423,.516,7.3
Jay Huff,C,24,WAS,7,2.1,.600,.720,7.3
Josh Okogie,SG,24,PHO,72,2.3,.391,.471,7.3
Reggie Bullock,SF,31,DAL,78,2.5,.409,.569,7.2
Dorian Finney-Smith,PF,29,BRK,26,2.6,.351,.448,7.2
Isaiah Jackson,C,21,IND,63,2.8,.563,.566,7.2
Jarred Vanderbilt,PF,23,LAL,26,2.8,.529,.564,7.2
Troy Brown Jr.,SF,23,LAL,76,2.6,.430,.545,7.1
Kendrick Nunn,SG,27,TOT,70,2.7,.424,.512,7.1
Edmond Sumner,SG,27,BRK,53,2.3,.461,.519,7.1
Lindell Wigginton,PG,24,MIL,7,2.6,.486,.568,7.1
Chance Comanche,C,26,POR,1,3.0,.600,.600,7
Kevon Looney,C,26,GSW,82,3.0,.630,.630,7
Eugene Omoruyi,SF,25,TOT,40,2.5,.443,.498,7
Joshua Primo,SG,20,SAS,4,2.3,.346,.404,7
Daniel Theis,C,30,IND,7,3.0,.477,.500,7
Xavier Tillman Sr.,C,24,MEM,61,3.1,.614,.621,7
Jae Crowder,PF,32,MIL,18,2.5,.479,.606,6.9
Willy Hernangómez,C,28,NOP,38,2.3,.527,.536,6.9
Joe Ingles,SF,35,MIL,46,2.3,.435,.603,6.9
Ty Jerome,SG,25,GSW,45,2.6,.488,.560,6.9
Cory Joseph,PG,31,DET,62,2.4,.427,.527,6.9
Romeo Langford,SG,23,SAS,43,2.8,.467,.498,6.9
Svi Mykhailiuk,SF,25,TOT,32,2.4,.445,.566,6.9
Ben Simmons,PG,26,BRK,42,3.2,.566,.566,6.9
James Wiseman,C,21,GSW,21,2.8,.628,.633,6.9
Will Barton,SG,32,TOT,56,2.5,.379,.470,6.8
Larry Nance Jr.,C,30,NOP,65,2.9,.610,.633,6.8
Jeremiah Robinson-Earl,PF,22,OKC,43,2.6,.444,.518,6.8
Aaron Wiggins,SG,24,OKC,70,2.7,.512,.579,6.8
Justise Winslow,PF,26,POR,29,2.8,.409,.444,6.8
Terence Davis,SG,25,SAC,64,2.4,.423,.545,6.7
Anthony Lamb,SF,25,GSW,62,2.4,.471,.588,6.7
Isaiah Livers,PF,24,DET,52,2.3,.417,.545,6.7
Théo Maledon,PG,21,CHO,44,2.3,.402,.457,6.7
Jalen McDaniels,SF,25,PHI,24,2.5,.488,.537,6.7
